log_id,zone_id,date,wind_speed_kmph,visibility_km,precipitation_mm
131,2,2025-06-10,9.3,9.3,0.0
132,2,2025-06-11,4.3,8.7,0.7
133,2,2025-06-12,19.4,8.0,0.0
134,2,2025-06-13,5.0,8.6,0.0
135,2,2025-06-14,3.9,10.0,0.0
136,2,2025-06-15,10.3,7.8,2.6
137,2,2025-06-16,11.8,8.6,1.8
138,2,2025-06-17,8.4,8.0,0.0
139,2,2025-06-18,6.2,6.5,0.0
140,2,2025-06-19,24.8,9.7,0.0
141,2,2025-06-20,,8.6,0.0
142,2,2025-06-21,4.3,7.7,0.0
143,2,2025-06-22,2.5,7.8,0.0
144,2,2025-06-23,3.7,10.0,1.6
145,2,2025-06-24,18.5,8.9,0.3
146,2,2025-06-25,4.7,7.2,0.0
147,2,2025-06-26,8.6,10.0,0.0
148,2,2025-06-27,2.6,9.6,0.0
149,2,2025-06-28,5.8,8.1,0.0
150,2,2025-06-29,10.4,7.6,6.6
151,2,2025-06-30,8.3,7.4,2.5
152,2,2025-07-01,6.2,9.9,0.7
153,2,2025-07-02,10.8,9.9,0.0
154,2,2025-07-03,5.7,9.7,0.0
155,2,2025-07-04,1.9,8.9,0.4
156,2,2025-07-05,15.8,6.3,0.0
157,2,2025-07-06,5.8,8.9,0.0
158,2,2025-07-07,20.0,7.9,0.8
159,2,2025-07-08,14.7,10.0,0.0
160,2,2025-07-09,15.2,8.5,5.2
161,2,2025-07-10,13.2,7.9,0.0
162,2,2025-07-11,10.7,8.6,2.2
163,2,2025-07-12,12.8,8.2,0.0
164,2,2025-07-13,13.4,8.2,0.0
165,2,2025-07-14,18.4,8.3,1.9
166,2,2025-07-15,1.1,7.3,0.0
167,2,2025-07-16,10.1,10.0,3.1
168,2,2025-07-17,17.9,5.5,0.5
169,2,2025-07-18,2.4,10.0,1.7
170,2,2025-07-19,15.7,10.0,1.6
171,2,2025-07-20,6.8,7.5,1.2
172,2,2025-07-21,10.6,8.1,2.7
173,2,2025-07-22,20.4,8.0,2.2
174,2,2025-07-23,8.1,7.3,0.0
175,2,2025-07-24,17.1,7.4,0.5
176,2,2025-07-25,13.6,10.0,0.0
177,2,2025-07-26,1.6,10.0,4.4
178,2,2025-07-27,12.3,7.1,0.4
179,2,2025-07-28,10.9,9.9,3.6
180,2,2025-07-29,,9.5,0.4
181,3,2025-05-01,28.1,8.3,3.7
182,3,2025-05-02,4.1,,2.2
183,3,2025-05-03,10.4,10.0,0.0
184,3,2025-05-04,8.8,8.5,0.0
185,3,2025-05-05,4.0,6.6,3.5
186,3,2025-05-06,,7.2,0.0
187,3,2025-05-07,8.1,6.8,0.0
188,3,2025-05-08,9.6,10.0,0.0
189,3,2025-05-09,21.5,8.7,0.0
190,3,2025-05-10,46.1,9.2,1.3
191,3,2025-05-11,11.6,8.9,0.0
192,3,2025-05-12,9.7,8.3,0.0
193,3,2025-05-13,8.2,10.0,0.0
194,3,2025-05-14,23.1,6.0,0.0
195,3,2025-05-15,2.6,7.9,0.0
196,3,2025-05-16,19.1,10.0,0.0
197,3,2025-05-17,16.7,7.4,0.0
198,3,2025-05-18,6.5,9.8,0.0
199,3,2025-05-19,8.3,8.5,2.4
200,3,2025-05-20,7.5,10.0,0.0
201,3,2025-05-21,15.3,8.6,0.0
202,3,2025-05-22,12.7,7.2,3.0
203,3,2025-05-23,6.5,10.0,0.0
204,3,2025-05-24,2.1,10.0,0.0
205,3,2025-05-25,1.0,10.0,4.4
206,3,2025-05-26,6.3,9.7,0.0
207,3,2025-05-27,10.9,9.3,0.0
208,3,2025-05-28,12.6,6.5,0.0
209,3,2025-05-29,11.4,8.8,0.0
210,3,2025-05-30,6.4,7.9,3.4
211,3,2025-05-31,11.6,7.6,0.1
212,3,2025-06-01,20.3,9.8,0.0
213,3,2025-06-02,12.1,10.0,0.7
214,3,2025-06-03,1.4,7.2,0.0
215,3,2025-06-04,14.6,8.0,0.3
216,3,2025-06-05,6.0,7.0,0.0
217,3,2025-06-06,4.2,10.0,0.0
218,3,2025-06-07,14.3,9.4,0.0
219,3,2025-06-08,6.2,9.3,0.3
220,3,2025-06-09,21.8,8.0,0.0
221,3,2025-06-10,9.7,10.0,0.0
222,3,2025-06-11,16.5,8.3,0.9
223,3,2025-06-12,15.6,6.7,0.0
224,3,2025-06-13,9.4,10.0,0.1
225,3,2025-06-14,13.2,10.0,0.7
226,3,2025-06-15,18.0,9.8,0.0
227,3,2025-06-16,13.7,9.4,0.2
228,3,17/06/2025,3.7,10.0,5.6
229,3,2025-06-18,9.7,10.0,2.2
230,3,2025-06-19,19.2,8.3,0.3
231,3,2025-06-20,7.0,8.6,0.9
232,3,2025-06-21,23.2,7.8,0.0
233,3,2025-06-22,25.9,9.4,0.5
234,3,2025-06-23,12.2,10.0,0.0
235,3,2025-06-24,10.7,10.0,1.7
236,3,2025-06-25,6.5,10.0,0.5
237,3,2025-06-26,6.9,10.0,1.2
238,3,2025-06-27,7.1,8.7,0.0
239,3,2025-06-28,4.1,7.9,0.0
240,3,2025-06-29,9.7,9.5,0.8
241,3,2025-06-30,19.7,8.8,0.0
242,3,2025-07-01,13.3,9.3,0.4
243,3,2025-07-02,14.3,8.1,0.0
244,3,2025-07-03,6.4,8.1,0.0
245,3,2025-07-04,22.3,10.0,0.9
246,3,2025-07-05,6.2,8.3,0.0
247,3,2025-07-06,15.7,10.0,0.0
248,3,2025-07-07,31.4,8.2,2.9
249,3,2025-07-08,7.3,9.5,0.6
250,3,2025-07-09,12.8,8.8,0.0
251,3,2025-07-10,5.0,9.1,0.0
252,3,2025-07-11,31.3,8.3,2.3
253,3,2025-07-12,11.8,10.0,2.0
254,3,2025-07-13,6.4,10.0,0.0
255,3,2025-07-14,32.2,10.0,2.3
256,3,2025-07-15,21.3,10.0,0.9
257,3,2025-07-16,14.5,10.0,0.0
258,3,2025-07-17,15.9,8.8,0.0
259,3,2025-07-18,11.2,9.7,2.1
260,3,2025-07-19,7.3,9.4,0.5
261,3,2025-07-20,10.4,10.0,1.5
262,3,2025-07-21,37.9,9.5,5.1
263,3,2025-07-22,27.9,10.0,0.0
264,3,2025-07-23,11.5,8.4,0.0
265,3,2025-07-24,11.6,9.3,0.0
266,3,2025-07-25,5.5,8.3,1.3
267,3,2025-07-26,13.2,10.0,0.8
268,3,2025-07-27,9.5,6.9,0.0
269,3,2025-07-28,4.0,10.0,0.8
270,3,2025-07-29,3.0,10.0,0.0
271,4,2025-05-01,15.9,9.6,0.5
272,4,2025-05-02,5.5,9.3,0.0
273,4,2025-05-03,13.0,7.8,2.5
274,4,2025-05-04,25.9,10.0,1.4
275,4,2025-05-05,14.0,10.0,0.0
276,4,2025-05-06,24.2,10.0,1.7
277,4,2025-05-07,16.6,8.7,0.0
278,4,2025-05-08,31.4,9.9,0.0
279,4,09/05/2025,5.6,9.0,0.0
280,4,2025-05-10,1.3,9.0,0.3
281,4,2025-05-11,0.5,10.0,1.5
282,4,2025-05-12,13.7,8.2,0.0
283,4,2025-05-13,9.6,,0.4
284,4,2025-05-14,3.4,9.4,0.0
285,4,2025-05-15,10.2,9.3,0.0
286,4,2025-05-16,5.6,8.2,0.2
287,4,2025-05-17,8.0,8.8,0.0
288,4,2025-05-18,15.1,10.0,0.0
289,4,2025-05-19,19.0,9.8,1.0
290,4,2025-05-20,5.8,10.0,0.0
291,4,2025-05-21,15.8,10.0,0.0
292,4,2025-05-22,11.6,10.0,0.0
293,4,2025-05-23,11.6,8.7,2.6
294,4,2025-05-24,6.7,10.0,0.7
295,4,2025-05-25,6.2,10.0,0.0
296,4,2025-05-26,13.8,9.8,0.0
297,4,2025-05-27,11.0,9.3,2.6
298,4,2025-05-28,1.8,9.0,0.0
299,4,2025-05-29,27.8,10.0,0.0
300,4,2025-05-30,,10.0,3.1
301,4,2025-05-31,9.7,10.0,3.4
302,4,2025-06-01,2.1,10.0,1.1
303,4,2025-06-02,25.0,10.0,0.0
304,4,2025-06-03,12.2,9.7,0.0
305,4,2025-06-04,22.1,10.0,0.0
306,4,2025-06-05,7.4,8.0,0.0
307,4,2025-06-06,3.0,10.0,0.0
308,4,2025-06-07,9.6,10.0,0.0
309,4,2025-06-08,10.6,7.8,2.0
310,4,2025-06-09,2.1,9.1,1.0
311,4,2025-06-10,7.5,,1.2
312,4,2025-06-11,7.7,10.0,1.8
313,4,2025-06-12,20.3,10.0,0.0
314,4,2025-06-13,,9.6,4.0
315,4,2025-06-14,16.8,9.6,0.0
316,4,2025-06-15,18.9,10.0,0.0
317,4,2025-06-16,36.5,9.5,0.0
318,4,2025-06-17,21.3,8.1,0.7
319,4,2025-06-18,5.9,10.0,0.0
320,4,2025-06-19,18.4,10.0,0.8
321,4,2025-06-20,42.6,9.6,0.2
322,4,2025-06-21,21.2,10.0,0.7
323,4,2025-06-22,28.7,8.0,0.6
324,4,2025-06-23,9.5,10.0,1.6
325,4,2025-06-24,28.4,10.0,0.0
326,4,2025-06-25,225.7470404255136,,1.4
327,4,2025-06-26,7.9,10.0,0.0
328,4,2025-06-27,8.7,9.7,0.0
329,4,2025-06-28,28.1,8.4,0.0
330,4,2025-06-29,5.8,7.7,0.0
331,4,2025-06-30,28.9,10.0,0.0
332,4,2025-07-01,19.7,9.2,0.0
333,4,2025-07-02,2.6,7.2,0.0
334,4,2025-07-03,25.0,10.0,1.0
335,4,2025-07-04,17.1,10.0,3.7
336,4,2025-07-05,5.2,9.3,0.0
337,4,2025-07-06,4.1,8.0,0.0
338,4,2025-07-07,18.9,7.3,0.0
339,4,2025-07-08,4.2,9.4,0.8
340,4,2025-07-09,10.8,7.7,0.0
341,4,2025-07-10,13.8,10.0,0.0
342,4,2025-07-11,24.7,9.9,1.9
343,4,2025-07-12,14.8,8.6,0.4
344,4,2025-07-13,5.7,7.8,1.5
345,4,2025-07-14,5.5,9.3,0.7
346,4,2025-07-15,23.1,8.4,0.3
347,4,2025-07-16,37.5,10.0,0.0
348,4,2025-07-17,13.6,9.8,0.4
349,4,2025-07-18,8.9,8.9,0.3
350,4,2025-07-19,2.7,8.5,0.0
351,4,2025-07-20,28.8,10.0,0.0
352,4,2025-07-21,28.7,8.8,0.0
353,4,2025-07-22,4.0,9.8,0.0
354,4,2025-07-23,5.1,10.0,2.7
355,4,2025-07-24,2.1,6.7,0.0
356,4,2025-07-25,13.2,10.0,0.0
357,4,2025-07-26,13.6,10.0,0.0
358,4,2025-07-27,10.6,10.0,0.0
359,4,2025-07-28,2.6,8.6,0.7
360,4,2025-07-29,23.0,8.1,8.3
361,5,2025-05-01,7.7,10.0,0.0
362,5,2025-05-02,11.1,9.1,0.0
363,5,2025-05-03,7.8,9.9,0.0
364,5,2025-05-04,19.4,7.6,0.0
365,5,2025-05-05,2.8,6.0,0.0
366,5,2025-05-06,14.5,9.4,3.5
367,5,2025-05-07,44.4,8.9,0.0
368,5,2025-05-08,,9.2,1.6
369,5,2025-05-09,12.7,8.5,0.0
370,5,2025-05-10,5.2,8.8,0.5
371,5,2025-05-11,9.9,8.8,0.4
372,5,2025-05-12,17.8,8.8,0.0
373,5,2025-05-13,2.9,7.9,0.0
374,5,2025-05-14,8.6,8.9,5.3
375,5,2025-05-15,14.7,8.9,0.0
376,5,2025-05-16,1.2,7.0,0.4
377,5,2025-05-17,15.4,8.5,0.0
378,5,2025-05-18,,8.3,0.0
379,5,2025-05-19,6.0,8.3,0.0
380,5,2025-05-20,11.3,8.8,0.4
381,5,2025-05-21,19.3,6.6,0.0
382,5,2025-05-22,2.7,8.5,0.0
383,5,2025-05-23,14.8,9.9,0.0
384,5,2025-05-24,6.2,4.9,0.0
385,5,2025-05-25,6.3,9.4,0.0
386,5,2025-05-26,9.9,9.7,0.1
387,5,2025-05-27,22.4,8.6,0.0
388,5,2025-05-28,6.9,7.5,0.0
389,5,2025-05-29,2.7,6.4,1.6
390,5,2025-05-30,5.7,10.0,0.0
391,5,2025-05-31,16.2,8.1,3.1
392,5,2025-06-01,37.7,7.9,3.0
393,5,2025-06-02,23.9,10.0,0.0
394,5,2025-06-03,14.0,7.8,0.8
395,5,2025-06-04,7.4,9.1,0.0
396,5,2025-06-05,2.8,7.3,1.5
397,5,2025-06-06,3.9,9.6,0.0
398,5,2025-06-07,22.3,9.9,0.0
399,5,2025-06-08,19.9,7.7,0.0
400,5,2025-06-09,7.7,8.4,1.5
401,5,2025-06-10,14.0,10.0,5.4
402,5,2025-06-11,5.8,10.0,0.3
403,5,2025-06-12,27.1,9.6,0.6
404,5,2025-06-13,7.4,7.5,0.0
405,5,2025-06-14,3.9,5.9,0.4
406,5,2025-06-15,8.4,8.4,0.6
407,5,2025-06-16,18.3,7.9,2.2
408,5,2025-06-17,8.8,9.2,0.0
409,5,2025-06-18,14.3,9.9,0.6
410,5,2025-06-19,11.5,6.9,4.0
411,5,2025-06-20,,7.8,0.0
412,5,2025-06-21,23.0,8.8,0.1
413,5,2025-06-22,12.0,10.0,0.2
414,5,2025-06-23,17.0,9.4,1.4
415,5,2025-06-24,9.0,7.0,0.0
416,5,2025-06-25,8.5,7.5,0.0
417,5,2025-06-26,29.3,9.4,0.0
418,5,2025-06-27,22.4,7.9,0.0
419,5,2025-06-28,5.1,9.8,0.0
420,5,2025-06-29,4.6,8.1,2.7
421,5,2025-06-30,30.2,8.2,0.3
422,5,2025-07-01,2.5,6.2,0.0
423,5,2025-07-02,2.2,10.0,0.0
424,5,2025-07-03,6.3,10.0,0.0
425,5,2025-07-04,27.3,10.0,0.4
426,5,2025-07-05,20.2,9.7,2.0
427,5,2025-07-06,4.9,8.8,0.0
428,5,2025-07-07,16.4,10.0,0.0
429,5,2025-07-08,3.5,8.5,0.0
430,5,2025-07-09,9.4,8.6,1.2
431,5,2025-07-10,4.0,10.0,1.6
432,5,2025-07-11,8.3,7.4,0.0
433,5,2025-07-12,32.9,10.0,0.0
434,5,2025-07-13,11.1,6.1,4.1
435,5,2025-07-14,6.8,6.4,2.2
436,5,2025-07-15,14.5,8.0,0.0
437,5,2025-07-16,9.8,10.0,1.1
438,5,2025-07-17,6.0,9.5,0.0
439,5,2025-07-18,17.2,10.0,0.0
440,5,2025-07-19,9.2,8.5,0.0
441,5,2025-07-20,8.3,9.4,1.3
442,5,2025-07-21,26.6,8.4,0.0
443,5,2025-07-22,,10.0,3.1
444,5,2025-07-23,10.5,9.6,0.0
445,5,2025-07-24,2.1,8.0,6.5
446,5,2025-07-25,17.5,6.9,0.2
447,5,2025-07-26,14.1,8.7,0.0
448,5,2025-07-27,5.3,7.6,0.1
449,5,2025-07-28,4.0,8.9,1.1
450,5,2025-07-29,11.4,8.2,0.0
451,6,2025-05-01,3.8,5.2,4.3
452,6,2025-05-02,13.8,10.0,0.0
453,6,2025-05-03,15.6,10.0,0.0
454,6,2025-05-04,8.6,10.0,1.6
455,6,2025-05-05,5.8,8.4,0.0
456,6,2025-05-06,11.0,10.0,2.7
457,6,2025-05-07,7.9,7.2,1.5
458,6,2025-05-08,18.5,9.4,0.0
459,6,2025-05-09,12.5,8.4,0.0
460,6,2025-05-10,10.9,7.4,1.6
461,6,2025-05-11,32.7,10.0,0.0
462,6,2025-05-12,10.5,10.0,0.9
463,6,2025-05-13,5.8,10.0,3.2
464,6,2025-05-14,7.6,8.9,3.0
465,6,2025-05-15,4.3,10.0,0.4
466,6,2025-05-16,10.2,10.0,0.0
467,6,2025-05-17,3.8,10.0,0.0
468,6,2025-05-18,22.3,10.0,2.9
469,6,2025-05-19,11.6,9.0,2.4
470,6,2025-05-20,11.4,10.0,0.0
471,6,2025-05-21,24.1,9.4,0.0
472,6,2025-05-22,23.8,9.5,0.0
473,6,2025-05-23,18.0,10.0,0.0
474,6,2025-05-24,7.3,8.2,1.3
475,6,2025-05-25,22.7,10.0,2.2
476,6,2025-05-26,13.5,9.5,0.0
477,6,2025-05-27,3.4,10.0,0.0
478,6,2025-05-28,12.4,9.2,2.1
479,6,2025-05-29,18.4,7.5,0.0
480,6,2025-05-30,4.1,8.5,0.0
481,6,2025-05-31,14.5,9.8,1.4
482,6,2025-06-01,15.8,10.0,3.3
483,6,2025-06-02,16.2,10.0,0.0
484,6,2025-06-03,21.3,9.4,0.0
485,6,2025-06-04,6.4,9.4,3.5
486,6,2025-06-05,16.6,8.9,3.3
487,6,2025-06-06,16.9,10.0,5.1
488,6,2025-06-07,4.4,10.0,0.0
489,6,2025-06-08,13.1,10.0,0.0
490,6,2025-06-09,9.9,9.1,0.3
491,6,2025-06-10,3.9,7.9,0.0
492,6,2025-06-11,19.3,10.0,0.0
493,6,2025-06-12,,9.3,0.0
494,6,2025-06-13,10.6,10.0,2.1
495,6,2025-06-14,4.4,9.9,3.3
496,6,2025-06-15,19.6,10.0,0.2
497,6,2025-06-16,0.3,10.0,0.0
498,6,2025-06-17,14.5,10.0,0.0
499,6,2025-06-18,28.4,10.0,0.9
500,6,2025-06-19,10.6,7.1,0.0
501,6,2025-06-20,8.7,9.6,0.5
502,6,2025-06-21,29.7,8.4,0.0
503,6,2025-06-22,2.9,8.9,5.6
504,6,2025-06-23,5.5,7.4,0.4
505,6,2025-06-24,9.4,9.7,0.0
506,6,2025-06-25,2.4,9.1,1.7
507,6,2025-06-26,5.2,6.7,3.9
508,6,2025-06-27,10.9,9.9,0.0
509,6,2025-06-28,5.2,10.0,0.0
510,6,2025-06-29,10.2,8.5,0.0
511,6,2025-06-30,2.3,10.0,0.4
512,6,2025-07-01,14.5,8.8,0.0
513,6,2025-07-02,11.2,10.0,0.0
514,6,2025-07-03,18.7,6.3,0.0
515,6,2025-07-04,5.4,,0.0
516,6,2025-07-05,10.6,9.8,0.8
517,6,2025-07-06,13.8,9.4,0.5
518,6,2025-07-07,10.1,10.0,1.1
519,6,2025-07-08,12.4,7.8,0.0
520,6,2025-07-09,10.9,9.4,0.2
521,6,2025-07-10,1.4,9.8,0.0
522,6,2025-07-11,4.0,10.0,0.9
523,6,2025-07-12,13.7,7.8,0.0
524,6,2025-07-13,18.9,10.0,2.0
525,6,2025-07-14,8.2,9.3,0.0
526,6,2025-07-15,17.7,10.0,0.9
527,6,2025-07-16,1.9,7.9,0.0
528,6,2025-07-17,7.1,9.1,0.0
529,6,2025-07-18,17.3,10.0,0.0
530,6,2025-07-19,25.2,7.0,0.8
531,6,2025-07-20,5.0,7.7,7.4
532,6,2025-07-21,6.1,8.3,0.0
533,6,2025-07-22,13.7,10.0,0.0
534,6,2025-07-23,10.0,9.4,0.0
535,6,2025-07-24,7.4,9.2,0.0
536,6,2025-07-25,28.2,10.0,0.3
537,6,2025-07-26,7.6,9.4,0.0
538,6,2025-07-27,13.9,7.8,0.1
539,6,2025-07-28,11.1,10.0,0.0
540,6,2025-07-29,14.4,8.4,0.0
541,7,2025-05-01,5.9,6.3,0.2
542,7,2025-05-02,17.0,10.0,0.0
543,7,2025-05-03,4.4,10.0,0.4
544,7,2025-05-04,34.1,8.6,0.0
545,7,2025-05-05,9.2,9.6,0.0
546,7,2025-05-06,14.1,9.7,0.0
547,7,2025-05-07,7.3,10.0,4.3
548,7,2025-05-08,7.4,9.8,0.0
549,7,2025-05-09,9.8,6.6,0.0
550,7,2025-05-10,23.3,8.4,0.0
551,7,2025-05-11,24.9,10.0,6.4
552,7,2025-05-12,11.8,10.0,0.2
553,7,2025-05-13,15.9,9.0,2.3
554,7,2025-05-14,8.9,10.0,0.5
555,7,2025-05-15,9.9,8.7,1.1
556,7,2025-05-16,5.1,9.9,0.0
557,7,2025-05-17,,10.0,4.8
558,7,2025-05-18,19.3,,0.0
559,7,2025-05-19,16.7,10.0,0.0
560,7,2025-05-20,17.6,10.0,1.4
561,7,2025-05-21,13.0,10.0,0.0
562,7,2025-05-22,8.8,8.1,0.0
563,7,2025-05-23,5.0,8.8,4.4
564,7,2025-05-24,1.3,9.6,0.0
565,7,2025-05-25,16.0,10.0,0.0
566,7,2025-05-26,2.0,8.1,0.0
567,7,2025-05-27,17.9,9.0,0.0
568,7,2025-05-28,15.8,7.4,0.4
569,7,2025-05-29,24.7,7.3,2.9
570,7,2025-05-30,11.5,9.6,0.0
571,7,2025-05-31,6.7,10.0,0.1
572,7,2025-06-01,,9.8,0.0
573,7,2025-06-02,,8.2,0.5
574,7,2025-06-03,7.2,8.0,0.0
575,7,2025-06-04,21.4,8.8,2.2
576,7,2025-06-05,11.3,10.0,0.0
577,7,2025-06-06,4.7,7.2,2.2
578,7,2025-06-07,4.9,9.6,0.0
579,7,2025-06-08,11.6,9.8,0.0
580,7,2025-06-09,9.2,5.6,0.5
581,7,2025-06-10,9.0,10.0,5.3
582,7,2025-06-11,23.0,,0.0
583,7,2025-06-12,11.6,10.0,0.0
584,7,2025-06-13,22.5,9.3,0.0
585,7,2025-06-14,15.4,8.4,0.0
586,7,2025-06-15,3.2,8.6,2.0
587,7,2025-06-16,26.0,10.0,0.0
588,7,2025-06-17,3.5,10.0,0.4
589,7,2025-06-18,3.8,9.8,1.2
590,7,2025-06-19,4.5,7.5,1.0
591,7,2025-06-20,28.9,8.8,0.0
592,7,2025-06-21,15.4,9.3,0.0
593,7,2025-06-22,4.1,8.9,0.0
594,7,2025-06-23,4.1,10.0,0.0
595,7,2025-06-24,17.4,9.3,0.8
596,7,2025-06-25,14.9,10.0,0.0
597,7,2025-06-26,,10.0,0.0
598,7,2025-06-27,15.3,9.4,0.0
599,7,2025-06-28,27.4,9.5,2.3
600,7,2025-06-29,10.4,9.5,1.5
601,7,2025-06-30,12.0,6.8,0.0
602,7,2025-07-01,4.9,9.1,1.3
603,7,2025-07-02,1.9,9.3,5.1
604,7,2025-07-03,11.9,7.4,0.0
605,7,2025-07-04,5.9,10.0,0.2
606,7,2025-07-05,15.0,10.0,0.0
607,7,2025-07-06,21.7,8.0,3.5
608,7,2025-07-07,3.1,10.0,1.0
