record_id,zone_id,date,deliveries_count,cost_per_delivery,battery_used_pct
47,1,2025-06-16,11,50.76,36.6
48,1,2025-06-17,11,52.24,35.1
49,1,2025-06-18,8,49.1,44.6
50,1,2025-06-19,11,44.36,43.6
51,1,2025-06-20,9,49.07,42.9
52,1,2025-06-21,9,49.02,42.7
53,1,2025-06-22,8,53.92,43.4
54,1,2025-06-23,12,50.29,37.6
55,1,2025-06-24,12,51.8,38.2
56,1,2025-06-25,14,49.56,44.8
57,1,2025-06-26,8,47.58,38.5
58,1,2025-06-27,11,45.87,41.2
59,1,2025-06-28,10,49.15,44.8
60,1,2025-06-29,16,52.68,40.4
61,1,2025-06-30,8,50.2,38.1
62,1,2025-07-01,12,49.77,40.6
63,1,2025-07-02,9,49.74,41.2
64,1,2025-07-03,12,43.78,39.7
65,1,2025-07-04,11,48.96,36.5
66,1,2025-07-05,11,49.48,38.0
67,1,2025-07-06,11,48.49,36.9
68,1,2025-07-07,12,,45.8
69,1,2025-07-08,11,44.19,37.7
70,1,2025-07-09,18,49.86,43.6
71,1,2025-07-10,12,50.03,46.0
72,1,2025-07-11,12,50.27,40.2
73,1,2025-07-12,9,46.0,40.6
74,1,2025-07-13,7,48.57,50.8
75,1,2025-07-14,9,50.38,35.0
76,1,2025-07-15,8,51.59,41.8
77,1,2025-07-16,9,46.17,44.2
78,1,2025-07-17,9,48.97,41.7
79,1,2025-07-18,6,54.75,44.0
80,1,2025-07-19,12,48.88,38.9
81,1,2025-07-20,11,45.94,41.0
82,1,2025-07-21,10,50.92,36.7
83,1,2025-07-22,14,46.9,38.9
84,1,2025-07-23,12,49.53,36.5
85,1,2025-07-24,7,54.69,45.6
86,1,2025-07-25,9,46.87,46.6
87,1,2025-07-26,8,49.65,44.6
88,1,2025-07-27,8,48.14,28.5
89,1,2025-07-28,14,47.56,36.5
90,1,2025-07-29,11,44.03,39.7
91,2,2025-05-01,7,81.9,69.0
92,2,2025-05-02,6,77.61,70.8
93,2,2025-05-03,5,78.18,72.3
94,2,2025-05-04,6,76.42,75.2
95,2,2025-05-05,9,82.34,69.8
96,2,2025-05-06,6,71.72,74.1
97,2,2025-05-07,5,78.42,72.3
98,2,2025-05-08,7,76.1,72.4
99,2,2025-05-09,7,78.65,72.0
100,2,2025-05-10,6,78.5,78.0
101,2,2025-05-11,6,75.09,72.5
102,2,2025-05-12,5,79.41,74.7
103,2,2025-05-13,6,81.41,72.4
104,2,2025-05-14,7,76.97,73.9
105,2,2025-05-15,8,80.06,78.0
106,2,2025-05-16,4,77.64,77.5
107,2,2025-05-17,5,78.55,74.2
108,2,2025-05-18,9,79.37,71.5
109,2,2025-05-19,7,74.56,69.9
110,2,2025-05-20,6,79.95,77.2
111,2,2025-05-21,5,77.54,71.2
112,2,2025-05-22,5,75.55,78.7
113,2,2025-05-23,6,75.1,73.5
114,2,2025-05-24,5,75.89,71.5
115,2,2025-05-25,4,78.31,72.7
116,2,2025-05-26,2,78.28,69.0
117,2,2025-05-27,6,75.42,73.9
118,2,2025-05-28,5,82.01,78.2
119,2,2025-05-29,5,77.52,70.7
120,2,2025-05-30,3,76.71,76.0
121,2,2025-05-31,5,79.14,80.9
122,2,2025-06-01,4,78.79,77.5
123,2,2025-06-02,5,78.25,74.8
124,2,2025-06-03,6,75.26,74.8
125,2,2025-06-04,9,81.93,78.6
126,2,2025-06-05,5,75.28,78.2
127,2,2025-06-06,3,84.15,71.5
128,2,2025-06-07,4,75.78,66.3
129,2,2025-06-08,6,75.3,75.4
130,2,2025-06-09,4,83.21,78.6
131,2,2025-06-10,2,74.88,76.7
132,2,2025-06-11,4,83.07,79.5
133,2,2025-06-12,5,72.44,80.2
134,2,2025-06-13,4,81.29,68.4
135,2,2025-06-14,4,77.6,74.9
136,2,2025-06-15,5,79.45,70.5
137,2,2025-06-16,6,77.94,76.8
138,2,2025-06-17,7,74.21,68.6
139,2,2025-06-18,8,78.58,71.8
140,2,2025-06-19,5,77.93,79.5
141,2,2025-06-20,4,83.76,81.8
142,2,2025-06-21,8,80.49,77.3
143,2,2025-06-22,7,74.69,77.5
144,2,2025-06-23,1,72.3,70.0
145,2,2025-06-24,8,76.77,77.6
146,2,2025-06-25,2,77.8,81.3
147,2,2025-06-26,6,72.47,74.5
148,2,2025-06-27,5,77.48,66.5
149,2,2025-06-28,6,73.67,77.4
150,2,2025-06-29,3,74.76,72.7
151,2,2025-06-30,3,77.39,78.6
152,2,2025-07-01,3,79.09,72.6
153,2,2025-07-02,4,77.26,70.6
154,2,2025-07-03,5,73.99,82.6
155,2,2025-07-04,5,75.48,75.6
156,2,2025-07-05,6,76.92,77.2
157,2,2025-07-06,4,75.99,72.4
158,2,2025-07-07,8,70.67,68.7
159,2,2025-07-08,6,82.51,73.8
160,2,2025-07-09,7,78.51,87.1
161,2,2025-07-10,2,77.2,70.9
162,2,2025-07-11,2,78.19,71.7
163,2,2025-07-12,8,75.64,70.4
164,2,2025-07-13,8,80.22,74.7
165,2,2025-07-14,8,77.81,71.3
166,2,2025-07-15,5,79.2,70.6
167,2,2025-07-16,7,74.95,69.2
168,2,2025-07-17,6,83.31,69.2
169,2,2025-07-18,4,75.63,72.8
170,2,2025-07-19,3,74.99,74.9
171,2,2025-07-20,4,78.39,74.5
172,2,2025-07-21,6,74.86,72.4
173,2,2025-07-22,5,79.08,70.8
174,2,2025-07-23,6,79.83,68.1
175,2,2025-07-24,3,75.59,77.0
176,2,2025-07-25,5,72.17,68.2
177,2,2025-07-26,6,78.36,71.1
178,2,2025-07-27,3,72.6,74.5
179,2,2025-07-28,3,75.62,74.9
180,2,2025-07-29,4,76.43,78.8
181,3,2025-05-01,8,68.87,57.5
182,3,2025-05-02,5,70.68,52.1
183,3,2025-05-03,8,68.09,61.2
184,3,2025-05-04,7,64.55,62.3
185,3,2025-05-05,8,69.86,63.0
186,3,2025-05-06,6,65.12,60.0
187,3,2025-05-07,8,67.54,60.3
188,3,2025-05-08,6,72.59,65.5
189,3,2025-05-09,3,69.96,60.4
190,3,2025-05-10,6,63.34,54.5
191,3,2025-05-11,8,66.42,68.7
192,3,2025-05-12,3,65.7,65.3
193,3,2025-05-13,4,67.07,65.1
194,3,2025-05-14,6,69.79,63.4
195,3,2025-05-15,7,68.26,71.1
196,3,2025-05-16,5,67.1,60.2
197,3,2025-05-17,7,68.85,58.6
198,3,2025-05-18,8,64.93,63.9
199,3,2025-05-19,6,69.47,60.0
200,3,2025-05-20,8,63.42,60.2
201,3,2025-05-21,9,68.63,58.3
202,3,2025-05-22,11,70.43,63.7
203,3,2025-05-23,3,64.04,57.0
204,3,2025-05-24,7,70.85,64.6
205,3,2025-05-25,12,67.2,57.5
206,3,2025-05-26,8,66.75,62.4
207,3,2025-05-27,5,67.8,62.9
208,3,2025-05-28,10,67.77,69.5
209,3,2025-05-29,5,71.14,60.0
210,3,2025-05-30,9,65.98,62.2
211,3,2025-05-31,7,61.28,68.1
212,3,2025-06-01,4,65.08,58.0
213,3,2025-06-02,4,68.83,62.3
214,3,2025-06-03,10,62.47,60.7
215,3,2025-06-04,6,65.58,56.0
216,3,2025-06-05,7,65.54,51.2
217,3,2025-06-06,11,65.67,64.8
218,3,2025-06-07,5,69.74,60.9
219,3,2025-06-08,7,74.08,62.2
220,3,2025-06-09,7,66.29,62.8
221,3,2025-06-10,7,-64.64,59.8
222,3,2025-06-11,7,64.73,59.1
223,3,2025-06-12,2,65.6,68.0
224,3,2025-06-13,3,69.63,67.0
225,3,2025-06-14,4,65.33,60.5
226,3,2025-06-15,10,64.03,57.6
227,3,2025-06-16,8,69.17,67.1
228,3,2025-06-17,8,62.97,59.9
229,3,2025-06-18,6,62.69,64.9
230,3,2025-06-19,8,65.24,64.8
231,3,2025-06-20,5,65.28,66.6
232,3,2025-06-21,6,68.21,64.4
233,3,2025-06-22,9,,57.0
234,3,2025-06-23,9,65.81,59.9
235,3,2025-06-24,4,64.25,56.4
236,3,2025-06-25,10,68.18,56.9
237,3,2025-06-26,7,60.11,68.8
238,3,2025-06-27,8,66.07,59.8
239,3,2025-06-28,7,66.25,66.4
240,3,2025-06-29,7,66.81,60.5
241,3,2025-06-30,4,67.28,55.2
242,3,2025-07-01,7,68.59,62.7
243,3,2025-07-02,6,66.42,63.4
244,3,2025-07-03,5,64.03,62.8
245,3,2025-07-04,9,67.58,55.2
246,3,2025-07-05,9,67.78,63.0
247,3,2025-07-06,3,71.36,66.1
248,3,2025-07-07,7,62.52,59.5
249,3,2025-07-08,7,67.91,59.1
250,3,2025-07-09,4,64.09,59.6
251,3,2025-07-10,5,63.59,56.6
252,3,2025-07-11,12,69.52,58.2
253,3,2025-07-12,5,67.84,62.7
254,3,2025-07-13,7,68.46,59.7
255,3,2025-07-14,9,74.04,61.6
256,3,2025-07-15,11,64.25,61.9
257,3,2025-07-16,8,64.48,69.2
258,3,2025-07-17,9,64.67,64.5
259,3,2025-07-18,6,68.23,55.7
260,3,2025-07-19,8,65.62,61.7
261,3,2025-07-20,8,66.89,56.7
262,3,2025-07-21,9,68.19,64.2
263,3,2025-07-22,7,,63.8
264,3,2025-07-23,7,61.38,63.7
265,3,2025-07-24,5,67.17,56.9
266,3,2025-07-25,8,69.52,61.8
267,3,2025-07-26,9,66.44,62.1
268,3,2025-07-27,6,64.81,62.4
269,3,2025-07-28,7,65.06,60.8
270,3,2025-07-29,5,64.92,67.0
271,4,2025-05-01,11,59.2,52.7
272,4,2025-05-02,5,60.35,58.6
273,4,2025-05-03,8,60.56,58.1
274,4,2025-05-04,11,62.96,52.4
275,4,2025-05-05,7,66.66,53.0
276,4,2025-05-06,7,64.12,60.8
277,4,2025-05-07,5,58.5,53.4
278,4,2025-05-08,7,57.0,50.5
279,4,2025-05-09,11,59.66,55.4
280,4,2025-05-10,8,56.76,58.4
281,4,2025-05-11,6,59.61,57.2
282,4,2025-05-12,9,60.91,55.2
283,4,2025-05-13,7,60.63,64.3
284,4,2025-05-14,7,58.17,52.0
285,4,2025-05-15,11,57.85,59.3
286,4,2025-05-16,9,58.05,51.2
287,4,2025-05-17,9,58.1,57.0
288,4,2025-05-18,12,55.21,60.7
289,4,2025-05-19,9,57.92,52.9
290,4,2025-05-20,12,60.76,57.1
291,4,2025-05-21,5,59.23,51.3
292,4,2025-05-22,12,57.57,54.4
293,4,2025-05-23,8,58.21,55.4
294,4,2025-05-24,7,,64.6
295,4,2025-05-25,10,58.29,58.7
296,4,2025-05-26,7,65.3,56.8
297,4,2025-05-27,10,61.53,58.9
298,4,2025-05-28,11,61.28,58.8
299,4,2025-05-29,8,63.91,57.1
300,4,2025-05-30,7,60.2,59.3
301,4,2025-05-31,8,60.87,52.9
302,4,2025-06-01,8,63.6,55.3
303,4,2025-06-02,9,55.68,57.5
304,4,2025-06-03,9,66.25,53.3
305,4,2025-06-04,8,60.51,60.8
306,4,2025-06-05,9,60.6,56.9
307,4,2025-06-06,10,58.42,55.3
308,4,2025-06-07,7,56.68,55.0
309,4,2025-06-08,7,63.35,48.4
310,4,2025-06-09,8,60.89,60.8
311,4,2025-06-10,5,58.09,62.0
312,4,2025-06-11,7,53.16,56.3
313,4,2025-06-12,9,56.7,57.3
314,4,2025-06-13,10,58.07,49.4
315,4,2025-06-14,12,61.71,54.1
316,4,2025-06-15,7,56.55,48.4
317,4,2025-06-16,8,59.62,55.5
318,4,2025-06-17,11,60.82,49.5
319,4,2025-06-18,9,,59.0
320,4,2025-06-19,9,61.13,56.8
321,4,2025-06-20,9,61.69,59.8
322,4,2025-06-21,11,61.89,54.1
323,4,2025-06-22,8,57.73,61.7
324,4,2025-06-23,7,55.47,55.0
325,4,2025-06-24,7,62.28,51.9
326,4,2025-06-25,3,54.09,52.7
327,4,2025-06-26,10,55.01,57.5
328,4,2025-06-27,8,61.04,50.6
329,4,2025-06-28,11,59.75,49.9
330,4,2025-06-29,8,62.39,53.6
331,4,2025-06-30,8,60.39,46.3
332,4,2025-07-01,8,57.71,50.5
333,4,2025-07-02,7,65.15,57.1
334,4,2025-07-03,10,61.48,60.1
335,4,2025-07-04,10,59.94,51.9
336,4,2025-07-05,9,60.94,58.1
337,4,2025-07-06,11,62.91,52.4
338,4,2025-07-07,7,60.35,62.8
339,4,2025-07-08,7,64.97,55.3
340,4,2025-07-09,9,58.31,53.2
341,4,2025-07-10,8,61.33,52.2
342,4,2025-07-11,9,66.19,61.4
343,4,2025-07-12,9,59.87,55.0
344,4,2025-07-13,5,56.69,53.5
345,4,2025-07-14,7,60.96,57.1
346,4,2025-07-15,5,64.48,49.6
347,4,2025-07-16,12,60.43,58.7
348,4,2025-07-17,8,58.38,58.8
349,4,2025-07-18,9,59.24,58.0
350,4,2025-07-19,11,55.03,60.4
351,4,2025-07-20,9,57.88,56.1
352,4,2025-07-21,7,60.54,52.3
353,4,2025-07-22,9,59.68,59.2
354,4,2025-07-23,2,58.65,57.6
355,4,2025-07-24,7,63.21,130.70444873123694
356,4,2025-07-25,11,56.4,49.3
357,4,2025-07-26,8,58.36,55.9
358,4,2025-07-27,6,61.19,54.8
359,4,2025-07-28,5,62.75,52.5
360,4,2025-07-29,10,58.48,60.5
361,5,2025-05-01,12,36.27,27.6
362,5,2025-05-02,13,43.55,30.5
363,5,2025-05-03,12,40.41,30.0
364,5,2025-05-04,12,36.73,28.7
365,5,2025-05-05,14,39.5,29.2
366,5,2025-05-06,8,37.08,29.3
367,5,2025-05-07,14,40.07,30.4
368,5,2025-05-08,12,28.63,37.4
369,5,2025-05-09,13,40.64,24.8
370,5,2025-05-10,16,34.16,26.5
371,5,2025-05-11,14,36.75,29.9
372,5,2025-05-12,13,38.81,29.6
373,5,2025-05-13,13,44.53,28.8
374,5,2025-05-14,15,40.47,33.4
375,5,2025-05-15,16,39.24,24.4
376,5,2025-05-16,11,33.88,30.2
377,5,2025-05-17,13,37.13,30.3
378,5,2025-05-18,13,38.59,35.5
379,5,2025-05-19,15,,32.9
380,5,2025-05-20,14,33.64,31.4
381,5,2025-05-21,12,36.43,34.5
382,5,2025-05-22,12,37.7,28.3
383,5,2025-05-23,15,34.03,23.2
384,5,2025-05-24,8,34.78,25.0
385,5,2025-05-25,16,35.4,23.7
386,5,2025-05-26,17,40.35,26.2
387,5,2025-05-27,7,40.27,27.7
388,5,2025-05-28,9,44.19,23.4
389,5,2025-05-29,15,40.39,38.8
390,5,2025-05-30,14,39.01,31.4
391,5,2025-05-31,12,39.6,30.1
392,5,2025-06-01,12,37.13,26.0
393,5,2025-06-02,10,32.24,28.6
394,5,2025-06-03,15,34.01,29.7
395,5,2025-06-04,10,40.07,22.7
396,5,2025-06-05,12,40.14,25.1
397,5,2025-06-06,12,38.97,25.1
398,5,2025-06-07,13,33.32,26.6
399,5,2025-06-08,12,32.54,30.8
400,5,2025-06-09,15,38.98,29.9
401,5,2025-06-10,13,37.7,27.3
402,5,2025-06-11,12,38.95,29.2
403,5,2025-06-12,9,35.21,26.3
404,5,2025-06-13,11,42.57,24.0
405,5,2025-06-14,12,35.16,32.6
406,5,2025-06-15,13,41.06,26.3
407,5,2025-06-16,10,34.81,37.6
408,5,2025-06-17,13,38.25,31.5
409,5,2025-06-18,12,36.76,28.5
410,5,2025-06-19,17,36.88,32.9
411,5,2025-06-20,12,,23.5
412,5,2025-06-21,16,45.06,25.8
413,5,2025-06-22,13,42.35,26.8
414,5,2025-06-23,12,42.21,27.5
415,5,2025-06-24,11,35.57,24.9
416,5,2025-06-25,11,33.65,29.1
417,5,2025-06-26,13,38.02,22.8
418,5,2025-06-27,13,39.82,21.0
419,5,2025-06-28,16,41.0,24.2
420,5,2025-06-29,12,38.58,26.2
421,5,2025-06-30,13,38.99,29.3
422,5,2025-07-01,9,34.56,29.7
423,5,2025-07-02,11,36.99,25.4
424,5,2025-07-03,13,41.03,33.4
425,5,2025-07-04,15,34.04,27.7
426,5,2025-07-05,13,37.75,38.3
427,5,2025-07-06,13,37.9,27.8
428,5,2025-07-07,14,36.86,31.8
429,5,2025-07-08,9,34.96,23.7
430,5,2025-07-09,8,38.84,24.6
431,5,2025-07-10,12,38.49,39.0
432,5,2025-07-11,12,39.84,29.3
433,5,2025-07-12,13,40.08,27.8
434,5,2025-07-13,14,38.29,26.3
435,5,2025-07-14,13,36.8,26.0
436,5,2025-07-15,12,34.62,29.1
437,5,2025-07-16,12,40.58,30.9
438,5,2025-07-17,13,39.77,34.6
439,5,2025-07-18,10,37.35,23.8
440,5,2025-07-19,12,36.4,26.6
441,5,2025-07-20,12,37.49,31.1
442,5,2025-07-21,8,38.78,29.3
443,5,2025-07-22,10,-34.5,28.4
444,5,2025-07-23,15,39.12,35.1
445,5,2025-07-24,13,36.68,35.0
446,5,2025-07-25,12,36.31,26.5
447,5,2025-07-26,13,36.16,29.7
448,5,2025-07-27,15,37.33,30.7
449,5,2025-07-28,7,40.17,23.1
450,5,2025-07-29,12,40.12,23.5
451,6,2025-05-01,13,33.81,21.8
452,6,2025-05-02,7,39.6,26.7
453,6,2025-05-03,9,35.68,30.6
454,6,2025-05-04,13,37.87,28.9
455,6,2025-05-05,15,37.68,25.1
456,6,2025-05-06,10,36.84,28.9
457,6,2025-05-07,12,35.99,25.5
458,6,2025-05-08,9,42.46,23.5
459,6,2025-05-09,11,41.73,28.2
460,6,2025-05-10,16,40.44,26.6
461,6,2025-05-11,17,39.35,27.0
462,6,2025-05-12,13,35.5,32.0
463,6,2025-05-13,12,41.23,35.2
464,6,2025-05-14,11,35.06,30.8
465,6,2025-05-15,12,43.36,29.5
466,6,2025-05-16,10,37.87,23.6
467,6,2025-05-17,10,40.92,26.4
468,6,2025-05-18,14,38.93,33.7
469,6,2025-05-19,9,40.31,26.0
470,6,2025-05-20,12,41.82,27.7
471,6,2025-05-21,13,41.3,31.2
472,6,2025-05-22,14,43.82,26.4
473,6,2025-05-23,15,37.49,30.1
474,6,2025-05-24,14,38.84,31.2
475,6,2025-05-25,10,36.23,25.6
476,6,2025-05-26,10,31.42,37.2
477,6,2025-05-27,13,36.66,27.9
478,6,2025-05-28,11,39.77,32.4
479,6,2025-05-29,12,36.82,30.1
480,6,2025-05-30,14,42.14,31.0
481,6,2025-05-31,13,39.31,33.7
482,6,2025-06-01,11,33.43,30.6
483,6,2025-06-02,15,35.73,31.3
484,6,2025-06-03,16,37.38,30.2
485,6,2025-06-04,13,38.04,39.4
486,6,2025-06-05,13,32.04,32.0
487,6,2025-06-06,12,41.19,31.7
488,6,2025-06-07,11,33.65,28.2
489,6,2025-06-08,16,35.58,31.4
490,6,2025-06-09,13,38.5,24.2
491,6,2025-06-10,12,40.91,26.6
492,6,2025-06-11,14,37.36,25.9
493,6,2025-06-12,10,36.96,30.7
494,6,2025-06-13,12,36.01,31.9
495,6,2025-06-14,13,42.5,27.4
496,6,2025-06-15,9,40.12,23.3
497,6,2025-06-16,11,32.74,34.1
498,6,2025-06-17,13,44.99,26.7
499,6,2025-06-18,16,41.95,37.0
500,6,2025-06-19,13,40.95,33.1
501,6,2025-06-20,11,39.66,26.8
502,6,2025-06-21,11,37.31,28.3
503,6,2025-06-22,12,39.41,32.8
504,6,2025-06-23,12,41.75,24.4
505,6,2025-06-24,12,35.17,21.5
506,6,2025-06-25,14,36.95,35.1
507,6,2025-06-26,15,34.25,36.4
508,6,2025-06-27,10,39.07,28.1
509,6,2025-06-28,16,36.2,33.4
510,6,2025-06-29,10,41.95,27.0
511,6,2025-06-30,13,37.74,21.9
512,6,2025-07-01,9,36.88,27.1
513,6,2025-07-02,10,38.86,26.9
514,6,2025-07-03,16,28.7,28.9
515,6,2025-07-04,11,42.3,27.2
516,6,2025-07-05,13,38.73,25.0
517,6,2025-07-06,12,39.62,33.9
518,6,2025-07-07,11,36.71,25.5
519,6,2025-07-08,14,36.64,30.5
520,6,2025-07-09,12,34.91,35.0
521,6,2025-07-10,7,37.26,26.0
522,6,2025-07-11,12,39.97,31.9
523,6,2025-07-12,9,37.52,31.1
524,6,2025-07-13,10,35.73,32.2
525,6,2025-07-14,13,38.2,23.6
526,6,2025-07-15,15,37.21,22.5
527,6,2025-07-16,13,35.12,25.8
528,6,2025-07-17,12,40.77,24.9
529,6,2025-07-18,13,38.61,31.8
530,6,2025-07-19,12,36.22,25.7
531,6,2025-07-20,13,34.1,17.3
532,6,2025-07-21,10,40.03,19.5
533,6,2025-07-22,12,39.18,37.2
534,6,2025-07-23,15,35.14,28.3
535,6,2025-07-24,11,35.38,25.8
536,6,2025-07-25,16,34.46,29.5
537,6,2025-07-26,12,38.29,28.0
538,6,2025-07-27,12,32.63,32.5
539,6,2025-07-28,13,36.78,41.8
540,6,2025-07-29,15,35.06,27.3
541,7,2025-05-01,15,-32.6,17.5
542,7,2025-05-02,15,30.26,30.7
543,7,2025-05-03,13,30.92,28.4
544,7,2025-05-04,11,34.82,25.2
545,7,2025-05-05,13,30.33,27.4
546,7,2025-05-06,14,31.05,19.4
547,7,2025-05-07,13,38.45,19.0
548,7,2025-05-08,14,36.5,22.9
549,7,2025-05-09,13,29.07,25.0
550,7,2025-05-10,18,35.22,28.0
551,7,2025-05-11,14,34.0,24.6
552,7,2025-05-12,13,31.2,24.6
553,7,2025-05-13,11,32.77,28.5
554,7,2025-05-14,13,35.68,28.5
555,7,2025-05-15,16,25.89,20.8
556,7,2025-05-16,12,32.19,19.3
557,7,2025-05-17,13,34.78,25.4
558,7,2025-05-18,11,31.16,21.7
559,7,2025-05-19,16,37.11,22.0
560,7,2025-05-20,12,36.82,27.2
561,7,2025-05-21,11,33.47,23.2
562,7,2025-05-22,16,33.23,18.5
563,7,2025-05-23,14,30.87,24.1
564,7,2025-05-24,12,31.48,25.6
565,7,2025-05-25,13,34.87,17.9
566,7,2025-05-26,12,38.08,19.2
567,7,2025-05-27,14,33.8,24.0
568,7,2025-05-28,15,33.73,25.8
569,7,2025-05-29,15,33.49,22.3
570,7,2025-05-30,11,37.96,22.7
571,7,2025-05-31,9,35.58,22.8
572,7,2025-06-01,13,34.8,21.1
573,7,2025-06-02,15,33.26,24.0
574,7,2025-06-03,13,30.95,25.3
575,7,2025-06-04,11,34.48,25.7
576,7,2025-06-05,15,35.52,21.1
577,7,2025-06-06,13,33.36,30.6
578,7,2025-06-07,13,31.21,23.2
579,7,2025-06-08,11,34.66,16.8
580,7,2025-06-09,17,29.06,27.1
581,7,2025-06-10,13,31.95,22.6
582,7,2025-06-11,14,35.75,19.5
583,7,2025-06-12,14,,25.3
584,7,2025-06-13,15,35.26,12.4
585,7,2025-06-14,14,30.3,15.9
586,7,2025-06-15,15,36.38,22.7
587,7,2025-06-16,16,37.1,28.5
588,7,2025-06-17,10,34.49,23.6
589,7,2025-06-18,18,31.52,19.9
590,7,2025-06-19,14,31.73,23.7
591,7,2025-06-20,12,32.39,30.0
592,7,2025-06-21,11,32.84,20.3
593,7,2025-06-22,12,30.42,23.1
594,7,2025-06-23,13,30.18,17.6
595,7,2025-06-24,13,27.75,26.3
596,7,2025-06-25,12,27.89,22.0
597,7,2025-06-26,9,33.22,28.6
598,7,2025-06-27,15,32.61,22.6
599,7,2025-06-28,13,32.9,20.2
600,7,2025-06-29,13,29.87,27.6
601,7,2025-06-30,12,37.96,23.0
602,7,2025-07-01,10,27.72,16.0
603,7,2025-07-02,10,33.06,25.3
604,7,2025-07-03,13,34.95,21.3
605,7,2025-07-04,13,37.1,26.8
606,7,2025-07-05,12,29.59,14.6
607,7,2025-07-06,13,31.63,19.3
608,7,2025-07-07,12,32.49,22.4
609,7,2025-07-08,11,32.77,25.0
610,7,2025-07-09,13,36.49,22.9
611,7,2025-07-10,15,34.38,24.2
612,7,2025-07-11,14,33.12,20.8
613,7,2025-07-12,13,28.83,23.7
614,7,2025-07-13,9,31.64,22.7
615,7,2025-07-14,13,30.61,23.6
616,7,2025-07-15,11,29.18,28.3
617,7,2025-07-16,12,35.17,25.0
618,7,2025-07-17,15,37.59,18.5
619,7,2025-07-18,16,35.26,20.6
620,7,2025-07-19,14,31.51,24.4
621,7,2025-07-20,15,31.86,26.5
622,7,2025-07-21,10,27.01,28.5
623,7,2025-07-22,11,35.36,27.8
624,7,2025-07-23,13,31.03,18.8
625,7,2025-07-24,16,31.34,26.4
626,7,2025-07-25,13,36.45,21.0
627,7,2025-07-26,15,27.21,20.0
628,7,2025-07-27,12,37.11,18.3
629,7,2025-07-28,12,32.18,24.4
630,7,2025-07-29,13,33.53,21.4
631,8,2025-05-01,5,74.82,69.8
632,8,2025-05-02,5,72.85,69.4
633,8,2025-05-03,7,72.4,76.1
634,8,2025-05-04,5,72.29,72.5
635,8,2025-05-05,6,76.7,71.2
636,8,2025-05-06,3,74.52,63.5
637,8,2025-05-07,9,69.6,70.3
638,8,2025-05-08,7,79.87,72.3
639,8,2025-05-09,4,67.78,67.6
640,8,2025-05-10,5,71.32,69.1
641,8,2025-05-11,4,67.24,72.7
642,8,2025-05-12,4,73.9,78.0
643,8,2025-05-13,8,65.59,68.6
644,8,2025-05-14,7,79.06,64.8
645,8,2025-05-15,11,71.78,69.3
646,8,2025-05-16,7,68.67,70.8
647,8,2025-05-17,6,76.44,70.1
648,8,2025-05-18,5,72.01,70.8
649,8,2025-05-19,6,75.04,68.3
650,8,2025-05-20,6,73.09,74.3
651,8,2025-05-21,4,67.86,74.8
652,8,2025-05-22,8,71.22,67.4
653,8,2025-05-23,8,66.77,82.3
654,8,2025-05-24,6,73.85,69.5
655,8,2025-05-25,7,74.74,72.3
656,8,2025-05-26,5,73.45,69.0
657,8,2025-05-27,7,72.6,74.3
658,8,2025-05-28,6,64.36,72.4
659,8,2025-05-29,8,73.12,68.2
660,8,2025-05-30,7,76.02,66.7
661,8,2025-05-31,4,70.27,64.2
662,8,2025-06-01,7,75.77,73.6
663,8,2025-06-02,4,75.36,71.8
664,8,2025-06-03,7,74.48,73.0
